Domain,Age,Level of Study,Activity Level,Reputation,Accessibility,Moderation,Gender,Country,Recommended chat rooms,,,Agriculture,Anthro,Business Analytics,CommunicationTechnology,Data Science,Early childhood,Finance,,Writing,Food science,,,Gender studies,Geology ,Health and Wellness,Hostpiatlity Management,Humanities,Information systems,International Business,International relations,Journalism,Legal  studies,Linguistics,Logistics and supply chain,Management,media and communication,Performing arts,public administration,Public health,social work,Sports science ,visual arts
Legal Studies,22,College,Medium,4.4,Medium,Fair,Male,US, Legal Research and Writing,,,Plant Science, Cultural Anthropology, Data Mining and Analysis, Telecommunication Systems, Data Mining, Language and Literacy Development, Financial Accounting,, Grammar and Punctuation, Food Chemistry,,, Feminist Theory, Mineralogy, Nutrition and Dietetics, Hotel Management, Literature Studies, Database Management Systems, International Trade and Globalization, International Relations Theory, News Reporting and Writing, Constitutional Law, Phonetics and Phonology, Supply Chain Planning and Management, Strategic Management, Mass Communication, Mass Communication, Public Policy Analysis, Epidemiology, Social Determinants of Health, Exercise Physiology, Drawing and Sketching
Early Childhood Education,19,High School,Medium,4.5,Easy,Good,Female,India, Language and Literacy Development,,, Crop Production and Management, Archaeology, Predictive Modeling, Wireless Communication, Machine Learning, Math and Numeracy Skills, Managerial Accounting,, Sentence Structure and Syntax, Food Microbiology,,, Gender and Sexuality, Petrology, Physical Fitness and Exercise Science, Restaurant Management, History, Systems Analysis and Design, Cross-cultural Management, Diplomacy and Negotiation, Investigative Journalism, Criminal Law, Morphology, Inventory Management, Organizational Behavior, Media Studies, Media Studies, Organizational Theory and Behavior in Public Administration, Biostatistics, Social Support Networks, Biomechanics in Sports," Painting (Oil, Acrylic, Watercolor)"
International Relations,21,High School,Low,4.2,Easy,Fair,Male,Australia, Gender and International Relations,,, Soil Science, Physical Anthropology, Descriptive Analytics, Network Architecture, Statistical Analysis, Science and Discovery, Financial Management,, Creative Writing, Food Engineering,,, Intersectionality, Sedimentology, Public Health, Event Planning and Management, Philosophy, Business Process Management, International Business Strategy, Global Governance, Broadcast Journalism, Civil Law, Syntax, Warehouse and Distribution Management, Human Resource Management, Journalism, Journalism, Public Budgeting and Financial Management, Environmental Health, Social Relationships and Well-being, Sports Nutrition, Sculpture
Social Work,24,College,Medium,4.6,Medium,Good,Female,India, Social Justice and Health Equity,,, Agronomy, Linguistic Anthropology, Prescriptive Analytics, Internet of Things (IoT), Data Visualization, Social and Emotional Development, Investment Analysis and Portfolio Management,, Expository Writing, Food Safety and Quality Assurance,,, Masculinity Studies, Structural Geology, Epidemiology, Food and Beverage Management, Art History, Data Warehousing and Business Intelligence, Foreign Market Entry and Expansion, International Security Studies, Digital Journalism, Administrative Law, Semantics, Transportation and Freight Management, Leadership and Leadership Development, Broadcast Media, Broadcast Media, Public Personnel Management, Health Policy and Management, Social Isolation and Loneliness, Sports Psychology, Printmaking
Legal Studies,27,College,Low,4.9,Medium,Fair,Female,US, Civil Law,,, Horticulture, Ethnography, Business Intelligence, Data Communication, Predictive Analytics, Physical Development and Motor Skills, Corporate Finance,, Persuasive Writing, Food Processing and Preservation,,, Women's Studies, Stratigraphy, Health Promotion and Education, Hospitality Marketing and Sales, Cultural Studies, Enterprise Resource Planning (ERP), International Marketing, International Political Economy, Data Journalism, International Law, Pragmatics, Demand Forecasting and Planning, Change Management, Digital Media, Digital Media, Ethics in Public Administration, Health Promotion and Disease Prevention, Social Capital and Health, Strength and Conditioning, Photography
Legal Studies,21,High School,Medium,4,Medium,Fair,Female,UK, Legal Theory,,, Animal Science, Medical Anthropology, Data Visualization, Mobile Communication, Natural Language Processing, Art and Creativity, Financial Markets and Institutions,, Narrative Writing, Sensory Evaluation of Food,,, Queer Theory, Geomorphology, Mental Health and Well-being, Revenue Management, Linguistics, Information Security and Privacy, Global Supply Chain Management, Foreign Policy Analysis, Multimedia Journalism, Legal Research and Writing, Sociolinguistics, Supplier Relationship Management, Project Management, Social Media, Social Media, Strategic Planning and Management in the Public Sector, Global Health, Social Inequalities and Health, Sports Medicine and Injury Prevention, Digital Art
Food Science,22,College,High,4.3,Easy,Fair,Female,India, Nutritional Sciences,,, Dairy Science, Anthropological Theory, Machine Learning in Business Analytics, Satellite Communication, Deep Learning, Music and Movement, International Finance,, Poetry Writing, Food Analysis and Testing,,, Gender and Media, Plate Tectonics, Holistic Health, Hospitality Operations Management, Anthropology, IT Governance and Risk Management, International Finance and Investment, Conflict Resolution and Peacebuilding, Photojournalism, Contract Law, Psycholinguistics, Lean and Six Sigma in Supply Chain, Operations Management, Media Ethics and Law, Media Ethics and Law, Public Sector Leadership and Governance, Infectious Disease Control, Social Norms and Health Behavior, Performance Analysis in Sports, Mixed Media
Geology,19,High School,High,4.8,Easy,Good,Female,Australia, Petrology,,, Agricultural Engineering, Applied Anthropology, Big Data Analytics, Optical Communication, Big Data Analytics, Sensory Play, Risk Management and Insurance,, Academic Writing, Food Packaging and Shelf Life,,, Gender and Work, Volcanology, Stress Management, Tourism Management, Religious Studies, Cloud Computing and Virtualization, Global Business Ethics and Corporate Social Responsibility, Human Rights and Humanitarian Intervention, Feature Writing, Tort Law, Phonetics and Phonology, E-Commerce and Omni-channel Logistics, Supply Chain Management, Media Effects and Influence, Media Effects and Influence, Public Program Evaluation and Performance Management, Maternal and Child Health, Community Engagement and Health, Sports Training and Periodization, Installation Art
Information Systems,23,High School,High,4.8,Medium,Fair,Male,Australia, IT Governance and Risk Management,,, Agricultural Economics, Urban Anthropology, Text Mining and Natural Language Processing, Cloud Computing, Data Wrangling, Dramatic Play, Financial Planning and Wealth Management,, Technical Writing, Food Product Development,,, Gender and Politics, Seismology, Preventive Medicine, Resort and Spa Management, Gender and Sexuality Studies, Web Development and E-commerce, International Business Law and Regulations, International Organizations and Institutions, Opinion Writing and Editorial Journalism, Property Law, Historical Linguistics, Global Logistics and International Trade, Financial Management, Communication Theory, Communication Theory, Intergovernmental Relations, Nutrition and Public Health, Social Justice and Health Equity, Motor Control and Learning, Performance Art
Information Systems,25,College,Low,4.6,Medium,Good,Female,Canada, Human-Computer Interaction,,, Agricultural Biotechnology, Economic Anthropology, Customer Analytics, Network Security, Exploratory Data Analysis, Cognitive Development, Behavioral Finance,, Business Writing, Nutritional Sciences,,, Gender and Education, Hydrogeology, Health Policy and Advocacy, Hospitality Law and Ethics, Film Studies, Mobile Application Development, Global Human Resource Management, Comparative Foreign Policy, Sports Journalism, Family Law, Language Acquisition, Reverse Logistics and Product Returns, Marketing Management, Intercultural Communication, Intercultural Communication, Public Administration and Law, Occupational Health and Safety, Social Integration and Health, Sports Biomechanics, Collage
Journalism,22,High School,Low,4.7,Easy,Fair,Male,UK, Entertainment Journalism,,, Food Science and Technology, Political Anthropology, Supply Chain Analytics, Information Theory, Time Series Analysis, Social Studies and Cultural Awareness, Financial Statement Analysis,, Journalism and News Writing, Food Toxicology,,, Gender and Health, Geochemistry, Community Health, Front Office Operations, Musicology, Artificial Intelligence and Machine Learning in Information Systems, International Negotiations and Diplomacy, Globalization and Its Impact on International Relations, Business Journalism, Business Law, Neurolinguistics, Sustainable Supply Chain Management, Innovation and Entrepreneurship, Visual Communication, Visual Communication, Public Administration and Technology, Public Health Surveillance, Social Stigma and Mental Health, Sports Performance Testing and Assessment, Ceramic Art
Writing,25,College,Medium,4.5,Medium,Fair,Female,UK, Research and Citation Skills,,, Agribusiness Management, Environmental Anthropology, Financial Analytics, Multimedia Communication, Dimensionality Reduction, Health and Nutrition Education, Taxation and Tax Planning,, Writing for Social Media, Food Regulations and Compliance,,, Transgender Studies, Paleontology, Chronic Disease Management, Housekeeping and Facilities Management, Theatre and Performance Studies, Data Analytics and Visualization, Emerging Markets and International Business, International Law and Norms, Political Journalism, Intellectual Property Law, Computational Linguistics, Risk Management in Supply Chain, Risk Management, Media Production and Editing, Media Production and Editing, Public Service Delivery and Citizen Engagement, Health Equity and Social Determinants of Health, Social Connectedness and Resilience, Sports Rehabilitation and Recovery, Fiber Arts
Food Science,29,High School,High,3.9,Easy,Fair,Male,Australia, Food Fermentation,,, Agricultural Extension and Education, Psychological Anthropology, Marketing Analytics, Social Media and Communication, Cluster Analysis, Fine Motor Skills and Handwriting, Financial Modeling and Valuation,, Screenwriting, Food Biotechnology,,, Gender and Social Movements, Geochronology, Aging and Gerontology, Customer Service in Hospitality, Visual Arts, IT Project Management, International Entrepreneurship, Regional and Area Studies, International Journalism, Employment Law, Discourse Analysis, Supply Chain Analytics and Optimization, Performance Management, Advertising and Public Relations, Advertising and Public Relations, Public Policy Implementation, Community Health Assessment, Social Support Interventions, Sports Physiology, Graphic Design
Performing Arts,26,High School,Medium,3.8,Medium,Good,Male,Australia, Media Studies,,, Agricultural Policy and Development, Ethnohistory, Operations Analytics, Human-Computer Interaction, Reinforcement Learning, Outdoor and Nature Exploration, Derivatives and Risk Hedging,, Playwriting, Food Sensory Science,,, Gender and Development, Economic Geology, Occupational Health and Safety, Hospitality Financial Management, Comparative Literature, IT Service Management, Multinational Operations and Management, Environmental Politics and Sustainability, Science and Health Journalism, Environmental Law, Corpus Linguistics, Strategic Sourcing and Procurement, Conflict Resolution and Negotiation, Media and Society, Media and Society, Public Administration and Nonprofit Management, Health Communication and Behavior Change, Social Networks and Health Promotion, Sports Psychology and Mental Skills Training, Illustration
Business Analytics,27,College,Medium,3.8,Medium,Good,Male,Canada, Financial Analytics,,, Agricultural Marketing and Supply Chain Management, Visual Anthropology, Risk Analytics, Digital Signal Processing, Text Mining, Technology and Digital Literacy, Corporate Governance and Ethics in Finance,, Writing for Children, Food Allergies and Intolerances,,, Gender and Violence, Environmental Geology, Health Psychology, Sustainability in Hospitality, Classics and Ancient Studies, Knowledge Management Systems, International Economic Policies and Trade Agreements, Media and Communication in International Relations, Entertainment Journalism, Human Rights Law, Contrastive Linguistics, Last-Mile Delivery and Logistics, Decision Making and Problem Solving, Media and Politics, Media and Politics, Public Health Administration, Public Health Ethics, Social Epidemiology, Sports Nutrition for Performance Enhancement, Typography
